time,side,price,size,fee,prediction_id
2025-12-20 08:00:00,buy,2984.22124,0.3347600327380553,2.0020000000000002,46
2025-12-21 19:00:00,sell,2985.57144,0.3347600327380553,1.9988999859924061,46
2025-12-21 21:00:00,buy,2989.8168299999998,0.33328183754153745,1.9968970882064416,46
2025-12-23 08:00:00,sell,2961.91512,0.33328183754153745,1.9743050276713268,46
2025-12-25 13:00:00,buy,2930.8579299999997,0.33580305963270163,1.9723267740336,46
2025-12-25 17:00:00,sell,2945.3916600000002,0.33580305963270163,1.9781430624892842,46
2025-12-26 04:00:00,buy,2967.88492,0.33225827388455287,1.97616096314067,46
2025-12-27 02:00:00,sell,2924.83224,0.33225827388455287,1.9435994229285807,46
2025-12-28 10:00:00,buy,2940.7578200000003,0.3294675643222794,1.941651936306806,46
2025-12-30 01:00:00,sell,2935.05201,0.3294675643222794,1.934008873787821,46
2025-12-30 18:00:00,buy,2979.79682,0.3235466998891711,1.9320709968962857,46
2026-01-01 10:00:00,sell,2981.016,0.3235466998891711,1.9289957782336347,46
2026-01-01 11:00:00,buy,2987.9749899999997,0.32182478184245394,1.9270629244638444,46
2026-01-07 17:00:00,sell,3154.15269,0.32182478184245394,2.0301690027140786,46
2026-01-11 08:00:00,buy,3098.41532,0.32663124448832964,2.028134773373359,46
2026-01-13 01:00:00,sell,3105.4814100000003,0.32663124448832964,2.0286945153673455,46
2026-01-13 16:00:00,buy,3187.5944099999997,0.3172625152043766,2.026661763462948,46
2026-01-15 21:00:00,sell,3284.94177,0.3172625152043766,2.0843777765002334,46
2026-01-17 17:00:00,buy,3322.5992800000004,0.3127257421647674,2.0822892299681803,46
2026-01-19 04:00:00,sell,3209.06772,0.3127257421647674,2.007116168787996,46
2026-01-22 10:00:00,buy,3016.64363,0.33167570879263863,2.0051050383868705,46
2026-01-23 00:00:00,sell,2949.7473,0.33167570879263863,1.9567190529733443,46
2026-01-24 09:00:00,buy,2966.09313,0.32885833622515087,1.954758420482265,46
2026-01-25 08:00:00,sell,2936.6404199999997,0.32885833622515087,1.9314773652254564,46
2026-01-26 23:00:00,buy,2930.13721,0.3285994482244211,1.9295420249055004,46
