time,side,price,size,fee,prediction_id
2025-12-20 06:00:00,buy,2983.97099,0.33478810730663305,2.002,123
2025-12-21 19:00:00,sell,2985.57144,0.33478810730663305,1.999067623252678,123
2025-12-21 21:00:00,buy,2989.8168299999998,0.33330978814163514,1.9970645574941788,123
2025-12-23 08:00:00,sell,2961.91512,0.33330978814163514,1.9744706022814118,123
2025-12-25 13:00:00,buy,2930.8579299999997,0.33583122167447577,1.9724921827379258,123
2025-12-25 17:00:00,sell,2945.3916600000002,0.33583122167447577,1.9783089589752245,123
2025-12-26 04:00:00,buy,2967.88492,0.33228613864373396,1.9763266933983312,123
2025-12-27 02:00:00,sell,2924.83224,0.33228613864373396,1.943762422420606,123
2025-12-28 10:00:00,buy,2940.7578200000003,0.32949519503928304,1.9418147724733406,123
2025-12-30 01:00:00,sell,2935.05201,0.32949519503928304,1.9341710689707794,123
2025-12-30 18:00:00,buy,2979.79682,0.3235738340543218,1.9322330295596708,123
2026-01-01 10:00:00,sell,2981.016,0.3235738340543218,1.9291575529945562,123
2026-01-01 11:00:00,buy,2987.9749899999997,0.3218517715993672,1.9272245371264556,123
2026-01-07 17:00:00,sell,3154.15269,0.3218517715993672,2.030339262342819,123
2026-01-11 08:00:00,buy,3098.41532,0.3266586373380615,2.0283048624019515,123
2026-01-13 01:00:00,sell,3105.4814100000003,0.3266586373380615,2.028864651338564,123
2026-01-13 16:00:00,buy,3187.5944099999997,0.31728912234790985,2.0268317289579225,123
2026-01-15 21:00:00,sell,3284.94177,0.31728912234790985,2.0845525823345787,123
2026-01-17 17:00:00,buy,3322.5992800000004,0.31275196883293516,2.08246386064708,123
2026-01-19 04:00:00,sell,3209.06772,0.31275196883293516,2.0072844950964366,123
2026-01-22 10:00:00,buy,3016.64363,0.33170352469514025,2.0052731960323498,123
2026-01-23 00:00:00,sell,2949.7473,0.33170352469514025,1.9568831527399466,123
2026-01-24 09:00:00,buy,2966.09313,0.32888591584938864,1.9549223558209015,123
2026-01-25 08:00:00,sell,2936.6404199999997,0.32888591584938864,1.9316393481040663,123
2026-01-26 23:00:00,buy,2930.13721,0.32862700613707974,1.929703845477266,123
